,batch,epoch,loss,lr,ppl,time,type
0,,,5.253403929849569,,191.21604794264607,,test
1,"[200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.674695434570313, 5.98426025390625, 5.734210815429687, 5.613320922851562, 5.526948852539062, 5.483013305664063, 5.339251708984375, 5.3310479736328125, 5.3431884765625, 5.22548583984375, 5.1256341552734375]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[792.1061689780947, 397.128638204508, 309.26880425726284, 274.052836804736, 251.37575524380972, 240.57052881602587, 208.3567404640306, 206.6544291097671, 209.17860921624907, 185.9514912269226, 168.2808239936394]","[12.347155809402466, 9.709984064102173, 9.760615825653076, 9.725559949874878, 9.760559797286987, 9.739694595336914, 9.77526068687439, 9.731495380401611, 9.768345355987549, 9.726569652557373, 9.688465595245361]",train
2,,[1],[5.278342555246746],,[196.0446727093537],[23.752338886260986],val
